session_id,msisdn,imei,cgi,shortcode,session_start_ts,total_steps,dwell_times,dwell_variance,mean_dwell,menu_path,path_directness,session_duration_s,session_end_reason,pin_attempts,label
USS-32071C8B,254085291675,357400591065588,639-02-9925-85490,*334#,2025-02-20T08:50:00Z,5,"[13, 12, 28, 13, 10]",42.16,15.2,main>send_money>number>amount>pin>confirm,1.0,86,complete,1,legit
USS-2021D46F,254166606249,357185990700256,639-02-2095-84519,*334#,2025-02-06T17:09:00Z,5,"[12, 12, 30, 11, 15]",50.8,16.0,main>send_money>number>amount>pin>confirm,1.0,90,complete,1,legit
USS-709E214E,254184525946,355309123332518,639-02-4157-12906,*334#,2025-02-21T18:31:00Z,5,"[17, 19, 13, 15, 18]",4.64,16.4,main>send_money>number>amount>pin>confirm,1.0,92,complete,1,legit
USS-CBD5F283,254750776459,355432116672492,639-02-8991-58375,*334#,2025-02-19T17:21:00Z,3,"[18, 17, 17]",0.22,17.3,main>my_account>balance,1.0,58,complete,1,legit
USS-30079677,254798188881,353345841944693,639-02-5053-96151,*334#,2025-01-27T00:31:00Z,7,"[18, 20, 22, 20, 21, 14, 20]",5.92,19.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,149,complete,1,legit
USS-AC33B210,254030980141,357725791421450,639-02-4524-58787,*334#,2025-01-30T05:43:00Z,7,"[11, 13, 24, 11, 12, 16, 9]",21.63,13.7,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,110,complete,1,legit
USS-903B7590,254085647921,355904734097432,639-02-5887-65114,*334#,2025-02-08T14:55:00Z,5,"[13, 9, 12, 13, 10]",2.64,11.4,main>send_money>number>amount>pin>confirm,1.0,67,complete,1,legit
USS-E7571B3D,254759396424,358396173216316,639-02-8524-40491,*334#,2025-02-02T05:01:00Z,7,"[12, 10, 22, 6, 5, 7, 6]",30.49,9.7,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,82,complete,1,legit
USS-3F0AFF7D,254176606582,358323931729600,639-02-6631-52397,*334#,2025-02-02T17:12:00Z,7,"[9, 8, 18, 8, 11, 10, 10]",10.24,10.6,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,88,complete,1,legit
USS-55EBFC6F,254093863269,358803617891928,639-02-5871-97814,*334#,2025-02-12T16:07:00Z,7,"[11, 8, 10, 9, 8, 10, 9]",1.06,9.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,79,complete,1,legit
USS-6EF4621E,254121774448,359802677303330,639-02-7795-80317,*334#,2025-02-05T21:09:00Z,5,"[11, 7, 29, 11, 14]",58.24,14.4,main>send_money>number>amount>pin>confirm,1.0,82,complete,1,legit
USS-2AC97211,254152891774,352041182089818,639-02-4869-38643,*334#,2025-01-04T10:29:00Z,7,"[25, 17, 41, 16, 21, 21, 26]",60.69,23.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,181,complete,1,legit
USS-441B4941,254050632478,355594710363030,639-02-5752-22837,*334#,2025-02-12T14:07:00Z,5,"[13, 14, 28, 15, 8]",44.24,15.6,main>send_money>number>amount>pin>confirm,1.0,88,complete,1,legit
USS-8DC7D96B,254141945876,352120372166604,639-02-8522-73002,*334#,2025-02-22T16:53:00Z,7,"[10, 13, 27, 8, 13, 10, 11]",34.69,13.1,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,106,complete,1,legit
USS-624FA528,254725588415,356330029616632,639-02-2410-36095,*334#,2025-01-10T14:39:00Z,7,"[7, 6, 12, 4, 6, 7, 3]",7.1,6.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,59,timeout,1,legit
USS-D13D5F45,254713679514,358623608151473,639-02-8621-73509,*334#,2025-01-12T05:53:00Z,7,"[16, 15, 37, 13, 14, 12, 14]",66.2,17.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,135,complete,1,legit
USS-F73BE802,254752184890,356200648715218,639-02-6572-28503,*334#,2025-02-20T04:58:00Z,7,"[10, 10, 10, 12, 11, 11, 11]",0.49,10.7,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,89,complete,1,legit
USS-9A2793A7,254745105150,356442311395747,639-02-3635-44939,*334#,2025-01-18T21:56:00Z,5,"[16, 15, 30, 11, 14]",43.76,17.2,main>send_money>number>amount>pin>confirm,1.0,96,complete,1,legit
USS-FB2A5D04,254027816277,356249260948406,639-02-8879-63758,*334#,2025-01-07T13:08:00Z,5,"[16, 16, 53, 19, 19]",203.44,24.6,main>send_money>number>amount>pin>confirm,1.0,133,timeout,2,legit
USS-DEF614C9,254088562249,356729666693529,639-02-3068-69750,*334#,2025-03-01T20:23:00Z,5,"[20, 21, 57, 18, 21]",220.24,27.4,main>send_money>number>amount>pin>confirm,1.0,147,complete,1,legit
USS-DA91DD70,254166498760,359462587937442,639-02-3001-46540,*334#,2025-02-13T14:55:00Z,3,"[10, 10, 7]",2.0,9.0,main>my_account>balance,1.0,33,user_cancel,1,legit
USS-E066B769,254038396949,352795350579567,639-02-1005-91633,*334#,2025-02-23T04:04:00Z,7,"[16, 18, 40, 14, 19, 16, 20]",67.39,20.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,157,complete,1,legit
USS-CD330F2F,254067460736,352129808470997,639-02-4039-72774,*334#,2025-02-28T14:25:00Z,7,"[15, 16, 36, 16, 13, 13, 16]",56.41,17.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,139,complete,1,legit
USS-6DFC4FCC,254139870265,357317323686581,639-02-8514-74626,*334#,2025-01-30T16:04:00Z,7,"[7, 5, 15, 6, 4, 7, 7]",11.06,7.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,65,complete,1,legit
USS-90D682A2,254736208176,357193818052890,639-02-3360-18479,*334#,2025-01-19T08:59:00Z,7,"[19, 15, 39, 16, 14, 18, 21]",63.35,20.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,156,complete,1,legit
USS-7ADD6CA0,254168302629,355897462972624,639-02-8480-64454,*334#,2025-02-12T06:30:00Z,7,"[5, 8, 9, 6, 5, 6, 7]",1.96,6.6,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,60,complete,1,legit
USS-D2F5B1BE,254030407985,359743289595344,639-02-5926-90524,*334#,2025-02-06T20:13:00Z,3,"[15, 11, 13]",2.67,13.0,main>my_account>balance,1.0,45,complete,1,legit
USS-623B4C15,254124948934,356240971968232,639-02-4732-23519,*334#,2025-01-29T20:19:00Z,5,"[34, 33, 70, 23, 18]",332.24,35.6,main>send_money>number>amount>pin>confirm,1.0,188,complete,1,legit
USS-E8940FCB,254791498295,353410930957831,639-02-2372-63123,*334#,2025-02-06T07:18:00Z,7,"[14, 11, 31, 11, 9, 12, 10]",50.29,14.0,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,112,complete,1,legit
USS-2DEB6402,254149089630,359681405078989,639-02-1969-13792,*334#,2025-01-05T23:09:00Z,5,"[8, 7, 11, 8, 7]",2.16,8.2,main>send_money>number>amount>pin>confirm,1.0,51,user_cancel,1,legit
USS-1143C50F,254034435425,355988624992502,639-02-1247-79403,*334#,2025-02-24T12:55:00Z,7,"[14, 12, 32, 15, 13, 13, 9]",48.82,15.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,122,complete,1,legit
USS-49BA2BE9,254050621801,357439633592031,639-02-1911-99065,*334#,2025-01-19T20:43:00Z,5,"[5, 4, 10, 6, 4]",4.96,5.8,main>send_money>number>amount>pin>confirm,1.0,39,complete,1,legit
USS-E823ED46,254752719416,352641217251077,639-02-1721-21825,*334#,2025-02-21T06:43:00Z,7,"[15, 12, 25, 12, 16, 13, 15]",17.39,15.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,122,complete,1,legit
USS-F3020234,254732798334,353400333512952,639-02-5517-75969,*334#,2025-02-19T20:10:00Z,5,"[9, 6, 6, 9, 6]",2.16,7.2,main>send_money>number>amount>pin>confirm,1.0,46,complete,1,legit
USS-D6C7F7D6,254771247367,358281479334575,639-02-7181-44225,*334#,2025-03-05T21:20:00Z,7,"[20, 18, 42, 16, 17, 21, 11]",84.49,20.7,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,159,complete,2,legit
USS-26A84D24,254027533295,352964392078946,639-02-9257-36107,*334#,2025-02-16T08:08:00Z,5,"[21, 13, 14, 22, 19]",13.36,17.8,main>send_money>number>amount>pin>confirm,1.0,99,complete,1,legit
USS-18CDE139,254716149428,359946058622223,639-02-8122-74696,*334#,2025-02-22T11:17:00Z,5,"[15, 14, 10, 16, 12]",4.64,13.4,main>send_money>number>amount>pin>confirm,1.0,77,timeout,1,legit
USS-FAEDFD6A,254014593094,353356164040709,639-02-1744-31878,*334#,2025-01-10T22:28:00Z,7,"[12, 13, 47, 23, 17, 21, 13]",129.27,20.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,160,complete,1,legit
USS-38426805,254798641418,359593493875467,639-02-5693-25572,*334#,2025-02-13T06:54:00Z,7,"[14, 18, 51, 19, 16, 12, 18]",153.84,21.1,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,162,complete,1,legit
USS-C133FF73,254144020546,357962233372336,639-02-5077-14983,*334#,2025-02-25T00:56:00Z,7,"[13, 9, 17, 13, 17, 11, 17]",8.98,13.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,111,complete,1,legit
USS-A079C301,254790703249,352235638442418,639-02-2678-96591,*334#,2025-02-10T19:26:00Z,7,"[19, 18, 42, 18, 16, 19, 11]",84.24,20.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,157,complete,1,legit
USS-EC6385AB,254045666019,357312126006638,639-02-2951-73482,*334#,2025-02-14T23:36:00Z,3,"[16, 12, 11]",4.67,13.0,main>my_account>balance,1.0,45,complete,1,legit
USS-53A21777,254719472177,352324501346640,639-02-4240-55624,*334#,2025-01-20T17:17:00Z,7,"[17, 18, 44, 15, 17, 16, 14]",96.41,20.1,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,155,complete,1,legit
USS-221B4EEE,254065709142,356704255986619,639-02-3236-55672,*334#,2025-01-22T01:11:00Z,5,"[21, 26, 27, 14, 21]",21.36,21.8,main>send_money>number>amount>pin>confirm,1.0,119,complete,1,legit
USS-B6145099,254056346635,356348451115548,639-02-4344-84014,*334#,2025-02-10T15:59:00Z,7,"[24, 25, 53, 36, 22, 30, 34]",96.86,32.0,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,238,complete,1,legit
USS-C7D7CFE8,254730929954,357279454313314,639-02-4791-76950,*334#,2025-02-10T13:21:00Z,5,"[22, 19, 31, 15, 16]",33.04,20.6,main>send_money>number>amount>pin>confirm,1.0,113,complete,1,legit
USS-D1DBB3DF,254740893232,355567062993270,639-02-1595-13033,*334#,2025-01-23T13:17:00Z,7,"[20, 13, 41, 14, 17, 16, 13]",84.98,19.1,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,148,complete,1,legit
USS-6CA07425,254778166815,357811085003173,639-02-8747-62326,*334#,2025-01-08T17:02:00Z,5,"[11, 10, 11, 15, 11]",3.04,11.6,main>send_money>number>amount>pin>confirm,1.0,68,complete,1,legit
USS-1C6DC43A,254787307374,354981362709934,639-02-3635-74576,*334#,2025-01-29T13:29:00Z,7,"[31, 28, 47, 22, 21, 26, 30]",64.49,29.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,219,complete,1,legit
USS-E06A354C,254761053596,355869176470935,639-02-8639-30826,*334#,2025-01-06T17:36:00Z,5,"[10, 8, 11, 8, 8]",1.6,9.0,main>send_money>number>amount>pin>confirm,1.0,55,complete,1,legit
USS-5C542470,254131409128,359475138380846,639-02-3118-19498,*334#,2025-02-03T05:36:00Z,7,"[16, 13, 38, 16, 15, 17, 15]",64.24,18.6,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,144,complete,1,legit
USS-C48C804A,254030916622,354393376718468,639-02-5341-44223,*334#,2025-01-06T03:37:00Z,5,"[9, 11, 22, 11, 9]",23.84,12.4,main>send_money>number>amount>pin>confirm,1.0,72,timeout,1,legit
USS-E6FCAE28,254043062250,355555139390842,639-02-6127-10693,*334#,2025-01-05T13:09:00Z,5,"[12, 11, 31, 10, 13]",61.84,15.4,main>send_money>number>amount>pin>confirm,1.0,87,complete,1,legit
USS-4ED52FC2,254024252294,356847676814469,639-02-9035-51797,*334#,2025-01-22T20:51:00Z,5,"[21, 14, 30, 22, 30]",36.64,23.4,main>send_money>number>amount>pin>confirm,1.0,127,complete,1,legit
USS-D2BB3C28,254146111627,358411701691368,639-02-8359-94706,*334#,2025-02-16T15:08:00Z,3,"[21, 22, 21]",0.22,21.3,main>my_account>balance,1.0,70,complete,1,legit
USS-4A2B807E,254767409637,359590470004378,639-02-4204-19649,*334#,2025-01-07T00:27:00Z,7,"[11, 14, 23, 13, 13, 12, 17]",14.49,14.7,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,117,complete,1,legit
USS-6FF4B7E4,254111160196,358327061818749,639-02-6288-27422,*334#,2025-01-07T04:23:00Z,7,"[8, 10, 9, 10, 11, 10, 6]",2.41,9.1,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,78,complete,1,legit
USS-A90B533F,254778721275,359753534058617,639-02-7565-38552,*334#,2025-02-19T15:26:00Z,7,"[19, 19, 41, 11, 16, 25, 19]",78.82,21.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,164,complete,1,legit
USS-6C42E0A8,254731389418,356013898058849,639-02-3661-77397,*334#,2025-02-24T15:20:00Z,5,"[13, 10, 13, 9, 8]",4.24,10.6,main>send_money>number>amount>pin>confirm,1.0,63,complete,1,legit
USS-3B8F4969,254038646255,354215572609626,639-02-5920-93410,*334#,2025-02-19T18:24:00Z,3,"[17, 11, 16]",6.89,14.7,main>my_account>balance,1.0,50,complete,1,legit
USS-950A66D2,254139215212,359209416420091,639-02-4002-92135,*334#,2025-02-08T16:21:00Z,5,"[13, 11, 21, 8, 10]",20.24,12.6,main>send_money>number>amount>pin>confirm,1.0,73,complete,1,legit
USS-8F926454,254120469831,359515807435457,639-02-2369-84522,*334#,2025-02-03T02:05:00Z,3,"[9, 11, 8]",1.56,9.3,main>my_account>balance,1.0,34,complete,1,legit
USS-1A395AA8,254723625861,352278284285455,639-02-8985-17459,*334#,2025-02-20T23:40:00Z,5,"[8, 13, 32, 9, 16]",75.44,15.6,main>send_money>number>amount>pin>confirm,1.0,88,complete,1,legit
USS-701E951F,254099395485,357461536160197,639-02-9323-26367,*334#,2025-01-13T23:49:00Z,5,"[31, 29, 26, 23, 22]",11.76,26.2,main>send_money>number>amount>pin>confirm,1.0,141,complete,1,legit
USS-4B021920,254187049399,355087554241423,639-02-1281-32744,*334#,2025-02-13T04:26:00Z,7,"[14, 9, 32, 10, 8, 11, 9]",61.63,13.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,107,complete,1,legit
USS-3D35D642,254038005777,353025665757760,639-02-7020-38094,*334#,2025-02-22T16:16:00Z,7,"[8, 9, 18, 7, 9, 8, 7]",12.82,9.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,80,complete,1,legit
USS-5B86FD87,254748420406,352846860745261,639-02-4136-10607,*334#,2025-02-27T21:57:00Z,5,"[15, 11, 18, 13, 10]",8.24,13.4,main>send_money>number>amount>pin>confirm,1.0,77,complete,1,legit
USS-F4C6EC8F,254098597073,357447291533900,639-02-2200-52182,*334#,2025-02-21T02:58:00Z,3,"[10, 8, 6]",2.67,8.0,main>my_account>balance,1.0,30,complete,1,legit
USS-BE7A74FA,254164356395,352620159307989,639-02-2515-12280,*334#,2025-01-11T13:32:00Z,7,"[11, 11, 31, 10, 19, 10, 16]",50.53,15.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,122,timeout,1,legit
USS-7F68BD92,254775834448,356864136521246,639-02-4266-58437,*334#,2025-01-18T12:56:00Z,7,"[24, 12, 53, 21, 24, 21, 19]",146.12,24.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,188,complete,1,legit
USS-9D2B1B76,254151764319,356581580146787,639-02-1410-28085,*334#,2025-01-23T12:05:00Z,7,"[10, 9, 21, 8, 9, 9, 11]",17.43,11.0,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,91,complete,1,legit
USS-D54009AF,254051961365,353439992515182,639-02-2120-54634,*334#,2025-02-01T04:08:00Z,5,"[12, 11, 29, 13, 12]",46.64,15.4,main>send_money>number>amount>pin>confirm,1.0,87,complete,1,legit
USS-7B03F0AD,254044564568,356263753348580,639-02-1622-83223,*334#,2025-01-24T18:36:00Z,7,"[12, 9, 27, 9, 9, 12, 7]",39.55,12.1,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,99,complete,1,legit
USS-0EBFEF36,254038088891,352594734304397,639-02-4516-45245,*334#,2025-02-03T10:56:00Z,7,"[12, 7, 32, 9, 16, 10, 8]",65.1,13.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,108,complete,1,legit
USS-CCAD6083,254736083811,355601867668369,639-02-8216-73850,*334#,2025-02-28T18:45:00Z,5,"[8, 8, 14, 10, 5]",8.8,9.0,main>send_money>number>amount>pin>confirm,1.0,55,complete,1,legit
USS-388B92B2,254072557529,352451233386844,639-02-3498-50840,*334#,2025-02-17T20:25:00Z,7,"[12, 11, 24, 9, 11, 10, 14]",22.29,13.0,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,105,complete,1,legit
USS-EF13E07B,254065565221,359707751867285,639-02-3934-84435,*334#,2025-01-14T18:14:00Z,3,"[15, 16, 15]",0.22,15.3,main>my_account>balance,1.0,52,complete,1,legit
USS-662FF2ED,254727262910,352324947053149,639-02-7906-40301,*334#,2025-01-31T12:50:00Z,5,"[12, 11, 12, 11, 13]",0.56,11.8,main>send_money>number>amount>pin>confirm,1.0,69,complete,2,legit
USS-3893F838,254096924535,355165577241259,639-02-1280-57130,*334#,2025-01-28T18:19:00Z,7,"[7, 5, 12, 6, 6, 10, 5]",6.2,7.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,65,complete,1,legit
USS-BF9C80AA,254033552583,357571569544446,639-02-2727-58482,*334#,2025-02-12T21:16:00Z,7,"[13, 12, 25, 13, 9, 8, 17]",28.12,13.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,111,complete,1,legit
USS-6AC8C416,254033141063,358115089032153,639-02-5788-67049,*334#,2025-01-16T23:32:00Z,3,"[7, 6, 8]",0.67,7.0,main>my_account>balance,1.0,27,complete,1,legit
USS-F6897809,254710934129,359006465667069,639-02-1864-74260,*334#,2025-02-06T19:34:00Z,5,"[12, 11, 14, 14, 17]",4.24,13.6,main>send_money>number>amount>pin>confirm,1.0,78,complete,1,legit
USS-58F85C05,254745192145,352785673388644,639-02-3915-19277,*334#,2025-02-24T06:11:00Z,5,"[17, 12, 34, 14, 15]",63.44,18.4,main>send_money>number>amount>pin>confirm,1.0,102,complete,1,legit
USS-68BDD9A2,254798219307,357985487224695,639-02-1693-72539,*334#,2025-03-01T11:18:00Z,7,"[27, 20, 32, 26, 16, 19, 18]",29.1,22.6,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,172,complete,1,legit
USS-4DE08194,254725207448,354689980195638,639-02-5587-83942,*334#,2025-02-26T23:07:00Z,5,"[20, 15, 17, 14, 15]",4.56,16.2,main>send_money>number>amount>pin>confirm,1.0,91,complete,1,legit
USS-AD5CE991,254061490743,355659165242447,639-02-7812-48445,*334#,2025-01-28T02:53:00Z,7,"[16, 20, 27, 17, 22, 11, 16]",22.53,18.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,143,complete,1,legit
USS-6020B4BC,254754334064,3528910059829715,639-02-5954-66375,*334#,2025-01-04T15:19:00Z,3,"[10, 10, 8]",0.89,9.3,main>my_account>balance>pin,1.0,34,complete,1,fraud
USS-71347405,254754334064,3528910059829715,639-02-5954-66375,*334#,2025-01-04T15:21:11Z,5,"[9, 9, 9, 12, 13]",3.04,10.4,main>send_money>number>amount>pin>confirm,1.0,62,complete,1,fraud
USS-08AC1D96,254754334064,3528910059829715,639-02-5954-66375,*334#,2025-01-04T15:22:36Z,5,"[12, 7, 8, 10, 13]",5.2,10.0,main>send_money>number>amount>pin>confirm,1.0,60,complete,1,fraud
USS-C5EE80CD,254185537566,358379346041860,639-02-8715-63672,*334#,2025-01-25T23:34:00Z,5,"[15, 19, 19, 16, 16]",2.8,17.0,main>send_money>number>amount>pin>confirm,1.0,95,complete,1,legit
USS-6CA8D867,254186071064,359408199179285,639-02-2636-19562,*334#,2025-02-02T19:51:00Z,7,"[12, 12, 21, 11, 10, 12, 9]",13.39,12.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,101,timeout,1,legit
USS-C2F93704,254716339294,358568455865503,639-02-6169-11611,*334#,2025-02-19T15:17:00Z,7,"[26, 34, 56, 18, 20, 28, 33]",137.35,30.7,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,229,complete,1,legit
USS-4E7AE0AE,254161107041,356099826979873,639-02-3776-48725,*334#,2025-03-01T15:18:00Z,5,"[8, 10, 26, 13, 14]",39.36,14.2,main>send_money>number>amount>pin>confirm,1.0,81,complete,1,legit
USS-26FAD3F3,254743491642,354773631439235,639-02-1760-52490,*334#,2025-02-17T01:21:00Z,5,"[10, 11, 23, 13, 12]",22.16,13.8,main>send_money>number>amount>pin>confirm,1.0,79,complete,2,legit
USS-36CD15D7,254070659020,356546274012155,639-02-3581-82246,*334#,2025-02-16T06:57:00Z,5,"[8, 11, 33, 13, 14]",78.16,15.8,main>send_money>number>amount>pin>confirm,1.0,89,complete,1,legit
USS-CF786C69,254070511599,354721572242406,639-02-6314-53365,*334#,2025-02-11T00:34:00Z,3,"[8, 7, 7]",0.22,7.3,main>my_account>balance,1.0,28,complete,1,legit
USS-828663AF,254131021716,355192076378571,639-02-9245-78309,*334#,2025-03-03T23:51:00Z,3,"[16, 21, 23]",8.67,20.0,main>my_account>balance,1.0,66,complete,1,legit
USS-082093BD,254179605016,359594260164922,639-02-4996-76958,*334#,2025-02-24T20:25:00Z,3,"[36, 27, 36]",18.0,33.0,main>my_account>balance,1.0,105,complete,1,legit
USS-9EFF36BF,254785121074,358466055484432,639-02-3095-28937,*334#,2025-02-15T19:09:00Z,7,"[9, 9, 14, 6, 10, 13, 12]",6.53,10.4,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,87,complete,1,legit
USS-353D95D8,254725621510,359791870882891,639-02-6835-80552,*334#,2025-02-07T04:38:00Z,3,"[13, 18, 13]",5.56,14.7,main>my_account>balance,1.0,50,complete,1,legit
USS-B10EED23,254765674396,356319478909429,639-02-7983-38874,*334#,2025-01-17T00:13:00Z,3,"[11, 11, 11]",0.0,11.0,main>my_account>balance,1.0,39,complete,1,legit
USS-B61E73FE,254189087653,357309143726312,639-02-9267-50841,*334#,2025-02-07T19:57:00Z,7,"[39, 23, 17, 38, 17, 34, 28]",74.86,28.0,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,210,complete,1,legit
USS-52F28C4E,254754543345,354269012480846,639-02-7095-15357,*334#,2025-01-25T08:30:00Z,5,"[14, 9, 30, 12, 14]",53.76,15.8,main>send_money>number>amount>pin>confirm,1.0,89,complete,1,legit
USS-343FD789,254176148925,358256105616798,639-02-4661-87473,*334#,2025-02-03T14:36:00Z,5,"[14, 8, 10, 11, 12]",4.0,11.0,main>send_money>number>amount>pin>confirm,1.0,65,complete,1,legit
