msisdn,label,archetype,risk_score,action,triggered_combos,time_to_first_min,imei_swap_corr,imei_cardinality,avg_dwell_variance,intent_purity,max_drain_ratio,cumulative_drain,all_recipients_unknown,non_financial_count,displacement_km,agent_risk,txn_velocity,time_of_day_risk,device_familiarity
254065709142,legit,normal,1,T0_ALLOW,,1380.0,0.1,2,21.36,0.111,0.188,0.188,False,8,2.2,0.05,0.043,0.9,0.94
254056346635,legit,new_recipient,4,T0_ALLOW,,2340.0,0.12,1,96.86,0.125,0.304,0.304,True,7,2.1,0.17,0.026,0.9,0.964
254730929954,legit,normal,0,T0_ALLOW,,3900.0,0.03,1,33.04,0.091,0.262,0.262,False,10,1.3,0.16,0.015,0.2,0.591
254740893232,legit,normal,0,T0_ALLOW,,3900.0,0.05,2,84.98,0.091,0.17,0.17,False,10,2.1,0.1,0.015,0.2,0.555
254778166815,legit,urgent_mobile_money,27,T1_OBSERVE,,33.0,0.02,2,3.04,0.25,0.245,0.245,True,3,2.5,0.42,1.818,0.3,0.564
254787307374,legit,rural_shared,4,T0_ALLOW,,1140.0,0.04,5,64.49,0.1,0.058,0.058,False,9,1.6,0.32,0.053,0.25,0.468
254761053596,legit,power_user,10,T0_ALLOW,,184.0,0.0,2,1.6,0.071,0.152,0.152,False,13,1.6,0.29,0.326,0.35,0.97
254131409128,fraud,rural_shared,0,T0_ALLOW,,2280.0,0.03,2,64.24,0.2,0.056,0.056,False,4,3.0,0.39,0.026,0.32,0.561
254030916622,legit,power_user,8,T0_ALLOW,,171.0,0.0,0,23.84,0.048,0,0,False,20,1.4,0.27,0.0,0.9,0.63
254043062250,legit,normal,0,T0_ALLOW,,1320.0,0.04,2,61.84,0.067,0.024,0.024,False,14,2.3,0.26,0.045,0.32,0.958
254024252294,legit,normal,2,T0_ALLOW,,2400.0,0.11,1,36.64,0.125,0.294,0.294,False,7,383.8,0.44,0.025,0.9,0.967
254146111627,legit,normal,3,T0_ALLOW,,3600.0,0.11,2,0.22,0.062,0.09,0.09,False,15,1.9,0.14,0.017,0.9,0.537
254767409637,legit,new_recipient,3,T0_ALLOW,,1500.0,0.06,1,14.49,0.091,0.121,0.121,True,10,1.2,0.19,0.04,0.7,0.582
254111160196,legit,power_user,9,T0_ALLOW,,200.0,0.05,1,2.41,0.056,0.114,0.114,False,17,0.8,0.12,0.3,0.9,0.985
254778721275,fraud,new_recipient,15,T0_ALLOW,,60.0,0.0,2,78.82,0.143,0.25,0.25,True,6,1.8,0.12,1.0,0.35,0.57
254731389418,legit,normal,4,T0_ALLOW,,2460.0,0.06,1,4.24,0.083,0.108,0.108,True,11,0.5,0.43,0.024,0.7,0.582
254038646255,legit,normal,1,T0_ALLOW,,2280.0,0.03,1,6.89,0.111,0.069,0.069,False,8,2.0,0.17,0.026,0.9,0.591
254139215212,legit,rural_shared,68,T3_STEP_UP,DELTA,16.0,0.02,5,20.24,0.5,0.872,0.872,False,1,1.3,0.4,3.75,0.3,0.474
254120469831,legit,new_recipient,15,T0_ALLOW,,600.0,0.08,2,1.56,0.091,0.049,0.049,True,10,0.8,0.13,0.1,0.3,0.546
254723625861,legit,urgent_mobile_money,16,T0_ALLOW,,31.0,0.11,1,75.44,0.333,0.163,0.163,False,2,698.3,0.33,1.935,0.7,0.567
254099395485,legit,new_recipient,4,T0_ALLOW,,2760.0,0.11,1,11.76,0.111,0.049,0.049,True,8,2.7,0.41,0.022,0.9,0.567
254187049399,legit,normal,1,T0_ALLOW,,1620.0,0.09,1,61.63,0.125,0.124,0.124,False,7,1.9,0.34,0.037,0.9,0.573
254038005777,legit,power_user,4,T0_ALLOW,,121.0,0.09,2,12.82,0.062,0.061,0.061,False,15,1.7,0.24,0.496,0.35,0.543
254748420406,legit,emergency_drain,26,T1_OBSERVE,,35.0,0.04,2,8.24,0.2,0.633,0.633,True,4,1.6,0.4,1.714,0.17,0.558
254098597073,legit,urgent_mobile_money,26,T1_OBSERVE,,11.0,0.09,2,2.67,0.333,0.231,0.231,False,2,1.7,0.34,5.455,0.9,0.543
254164356395,legit,normal,0,T0_ALLOW,,4020.0,0.05,2,50.53,0.062,0,0,False,15,0.6,0.19,0.0,0.25,0.555
254775834448,legit,normal,1,T0_ALLOW,,3720.0,0.08,2,146.12,0.071,0.286,0.286,False,13,659.2,0.3,0.016,0.7,0.946
254151764319,legit,normal,2,T0_ALLOW,,1140.0,0.09,2,17.43,0.25,0.18,0.18,False,3,398.0,0.39,0.053,0.27,0.943
254051961365,legit,normal,0,T0_ALLOW,,1620.0,0.11,2,46.64,0.067,0.077,0.077,False,14,1.9,0.25,0.037,0.9,0.937
254044564568,legit,urgent_mobile_money,13,T0_ALLOW,,38.0,0.02,1,39.55,0.5,0.21,0.21,False,1,1.1,0.35,1.579,0.27,0.594
254038088891,legit,normal,0,T0_ALLOW,,2640.0,0.31,1,65.1,0.125,0.054,0.054,False,7,0.2,0.07,0.023,0.35,0.907
254736083811,legit,emergency_drain,18,T0_ALLOW,,18.0,0.11,2,8.8,0.333,0.727,0.727,False,2,2.6,0.28,3.333,0.25,0.537
254072557529,legit,normal,0,T0_ALLOW,,1860.0,0.03,2,22.29,0.071,0.181,0.181,False,13,1.9,0.34,0.032,0.38,0.961
254065565221,legit,new_recipient,5,T0_ALLOW,,2520.0,0.03,1,0.22,0.111,0.204,0.204,True,8,2.7,0.04,0.024,0.9,0.991
254727262910,legit,normal,7,T0_ALLOW,,480.0,0.05,2,0.56,0.1,0.058,0.058,False,9,0.8,0.07,0.125,0.9,0.955
254096924535,legit,power_user,7,T0_ALLOW,,151.0,0.02,1,6.2,0.5,0.693,0.693,False,1,1.0,0.18,0.397,0.32,0.994
254033552583,legit,urgent_mobile_money,30,T1_OBSERVE,,6.0,0.12,1,28.12,1.0,0.289,0.289,False,0,0.6,0.09,10.0,0.17,0.564
254033141063,legit,normal,2,T0_ALLOW,,2040.0,0.11,2,0.67,0.071,0.124,0.124,False,13,2.1,0.11,0.029,0.38,0.537
254710934129,legit,rural_shared,6,T0_ALLOW,,240.0,0.08,3,4.24,0.167,0.3,0.3,False,5,1.0,0.06,0.25,0.32,0.516
254745192145,legit,normal,0,T0_ALLOW,,3840.0,0.08,1,63.44,0.091,0.182,0.182,False,10,2.0,0.42,0.016,0.35,0.976
254798219307,legit,normal,1,T0_ALLOW,,480.0,0.06,1,29.1,0.125,0.176,0.176,False,7,2.6,0.19,0.125,0.9,0.982
254725207448,legit,urgent_mobile_money,87,T4_FREEZE,DELTA,8.0,0.07,2,4.56,1.0,0.829,0.829,True,0,0.9,0.04,7.5,0.7,0.549
254061490743,legit,normal,1,T0_ALLOW,,2760.0,0.12,1,22.53,0.167,0.076,0.076,False,5,2.7,0.69,0.022,0.9,0.964
254754334064,fraud,partial_text_coaching,100,T4_FREEZE,DELTA|EPSILON,17.0,0.37,1,3.04,0.75,0.918,0.981,True,1,244.4,0.51,7.059,0.32,0.489
254185537566,legit,normal,2,T0_ALLOW,,4260.0,0.08,1,2.8,0.091,0.148,0.148,False,10,0.9,0.17,0.014,0.9,0.576
254186071064,legit,urgent_mobile_money,11,T0_ALLOW,,35.0,0.1,1,13.39,0.333,0,0,False,2,41.7,0.31,0.0,0.22,0.57
254716339294,legit,new_recipient,7,T0_ALLOW,,780.0,0.07,2,137.35,0.083,0.077,0.077,True,11,1.0,0.19,0.077,0.9,0.549
254161107041,legit,normal,0,T0_ALLOW,,1440.0,0.01,1,39.36,0.1,0.295,0.295,False,9,1.0,0.35,0.042,0.32,0.997
254743491642,legit,emergency_drain,32,T1_OBSERVE,,36.0,0.01,1,22.16,0.2,0.918,0.918,True,4,0.2,0.25,1.667,0.9,0.597
254070659020,legit,normal,1,T0_ALLOW,,3120.0,0.07,1,78.16,0.111,0.292,0.292,False,8,1.5,0.32,0.019,0.9,0.579
254070511599,legit,normal,2,T0_ALLOW,,2100.0,0.07,1,0.22,0.1,0.031,0.031,False,9,2.2,0.31,0.029,0.38,0.579
254131021716,legit,normal,0,T0_ALLOW,,3180.0,0.03,2,8.67,0.125,0.137,0.137,False,7,1.6,0.11,0.019,0.25,0.961
254179605016,legit,rural_shared,4,T0_ALLOW,,1080.0,0.06,3,18.0,0.333,0.265,0.265,False,2,2.7,0.39,0.056,0.9,0.522
254785121074,legit,emergency_drain,18,T0_ALLOW,,60.0,0.08,1,6.53,0.5,0.64,0.64,True,1,1.2,0.12,1.0,0.25,0.576
254725621510,legit,normal,0,T0_ALLOW,,900.0,0.1,2,5.56,0.091,0.161,0.161,False,10,1.6,0.24,0.067,0.38,0.94
254765674396,legit,new_recipient,13,T0_ALLOW,,300.0,0.09,2,0.0,0.091,0.33,0.33,True,10,2.2,0.33,0.2,0.22,0.543
254189087653,legit,new_recipient,5,T0_ALLOW,,900.0,0.07,2,74.86,0.111,0.27,0.27,True,8,2.6,0.14,0.067,0.9,0.949
254754543345,legit,normal,0,T0_ALLOW,,2520.0,0.11,2,53.76,0.062,0.086,0.086,False,15,1.8,0.44,0.024,0.35,0.937
254176148925,legit,normal,3,T0_ALLOW,,2160.0,0.06,2,4.0,0.1,0.215,0.215,False,9,1.7,0.3,0.028,0.9,0.552
254144566041,legit,power_user,9,T0_ALLOW,,142.0,0.08,2,4.0,0.077,0.103,0.103,False,12,1.4,0.3,0.423,0.38,0.546
254095864711,legit,normal,0,T0_ALLOW,,2040.0,0.0,2,11.44,0.143,0.126,0.126,False,6,1.3,0.14,0.029,0.25,0.97
254161367320,legit,new_recipient,15,T0_ALLOW,,180.0,0.08,2,10.86,0.1,0.255,0.255,True,9,2.3,0.17,0.333,0.9,0.546
254755885918,legit,urgent_mobile_money,32,T1_OBSERVE,,13.0,0.03,2,26.69,0.25,0.364,0.364,True,3,1.7,0.31,4.615,0.9,0.561
254739442356,legit,power_user,5,T0_ALLOW,,143.0,0.06,2,6.86,0.056,0.209,0.209,False,17,0.7,0.1,0.42,0.9,0.952
254161593383,legit,normal,3,T0_ALLOW,,3840.0,0.09,2,43.76,0.2,0.268,0.268,True,4,1.8,0.17,0.016,0.9,0.943
254180992454,legit,power_user,4,T0_ALLOW,,147.0,0.01,2,24.24,0.125,0.053,0.053,False,7,2.7,0.3,0.408,0.9,0.967
254031040402,legit,rural_shared,21,T1_OBSERVE,,4.0,0.1,2,2.89,0.333,0.072,0.072,False,2,1.7,0.24,10.0,0.35,0.54
254022461819,fraud,local_insider,67,T3_STEP_UP,BETA,99.0,0.15,1,1.39,0.375,0.787,0.95,True,5,1.0,0.69,1.212,0.22,0.555
254128624269,legit,new_recipient,12,T0_ALLOW,,1080.0,0.07,2,0.0,0.111,0.177,0.177,True,8,0.3,0.24,0.056,0.9,0.549
254740740257,legit,rural_shared,1,T0_ALLOW,,660.0,0.0,0,35.2,0.25,0.224,0.224,False,3,1.3,0.17,0.091,0.3,0.63
254020467116,fraud,partial_text_coaching,100,T4_FREEZE,BETA|EPSILON,19.0,0.64,1,0.59,0.6,0.912,0.978,True,2,53.7,0.54,6.316,0.27,0.408
254192919267,legit,new_recipient,4,T0_ALLOW,,1620.0,0.11,1,190.16,0.083,0.32,0.32,True,11,0.9,0.52,0.037,0.9,0.567
254778911030,legit,normal,6,T0_ALLOW,,840.0,0.01,1,46.64,0.067,0.299,0.299,True,14,1.7,0.41,0.071,0.27,0.597
254164567411,fraud,local_insider,31,T1_OBSERVE,,40.0,0.26,1,5.72,0.429,0.753,0.911,True,4,2.8,0.53,3.0,0.32,0.522
254024380301,legit,power_user,18,T0_ALLOW,,40.0,0.1,1,11.35,0.125,0.19,0.19,True,7,2.6,0.33,1.5,0.3,0.97
254127223841,legit,normal,1,T0_ALLOW,,4200.0,0.11,2,35.44,0.071,0.075,0.075,False,13,2.5,0.13,0.014,0.9,0.537
254756669471,legit,normal,3,T0_ALLOW,,3960.0,0.02,1,46.12,0.25,0.164,0.164,True,3,1.3,0.05,0.015,0.4,0.594
254729731370,legit,normal,0,T0_ALLOW,,1140.0,0.34,2,6.22,0.167,0.125,0.125,False,5,1.4,0.35,0.053,0.27,0.868
254748564829,legit,emergency_drain,62,T3_STEP_UP,DELTA,37.0,0.1,1,28.24,1.0,0.734,0.734,False,0,0.8,0.4,1.622,0.7,0.57
254026296532,legit,normal,0,T0_ALLOW,,4260.0,0.06,2,66.53,0.25,0.131,0.131,False,3,0.2,0.13,0.014,0.32,0.952
254199109409,legit,new_recipient,3,T0_ALLOW,,2700.0,0.12,2,51.76,0.091,0.171,0.171,True,10,2.6,0.11,0.022,0.9,0.934
254060376969,legit,power_user,5,T0_ALLOW,,168.0,0.06,1,15.44,0.05,0.201,0.201,False,19,2.6,0.07,0.357,0.9,0.982
254731574994,legit,new_recipient,35,T1_OBSERVE,,13.0,0.02,2,175.04,0.091,0.723,0.723,True,10,2.1,0.13,4.615,0.22,0.564
254025456296,legit,normal,0,T0_ALLOW,,600.0,0.03,1,52.98,0.167,0.165,0.165,False,5,2.3,0.13,0.1,0.17,0.991
254040395469,legit,power_user,6,T0_ALLOW,,154.0,0.01,2,3.35,0.062,0.145,0.145,False,15,2.3,0.23,0.39,0.38,0.967
254066649625,legit,rural_shared,2,T0_ALLOW,,1500.0,0.25,4,501.84,0.091,0.1,0.1,False,10,0.7,0.22,0.04,0.17,0.435
254062884720,legit,normal,2,T0_ALLOW,,2940.0,0.02,1,190.24,0.071,0.225,0.225,False,13,245.0,0.34,0.02,0.7,0.594
254172144848,legit,new_recipient,0,T0_ALLOW,,2280.0,0.08,1,34.78,0.091,0,0,False,10,1.4,0.08,0.0,0.25,0.976
254750144735,legit,power_user,23,T1_OBSERVE,,7.0,0.1,1,27.06,0.5,0.158,0.158,False,1,2.0,0.61,8.571,0.7,0.57
254769417095,legit,normal,3,T0_ALLOW,,1080.0,0.01,2,1.96,0.2,0.253,0.253,False,4,2.2,0.12,0.056,0.7,0.967
254081537268,legit,emergency_drain,30,T1_OBSERVE,,23.0,0.01,1,10.24,0.2,0.816,0.816,True,4,2.0,0.21,2.609,0.9,0.597
254139847320,legit,normal,1,T0_ALLOW,,1260.0,0.06,2,18.96,0.067,0.244,0.244,False,14,1.8,0.15,0.048,0.7,0.552
254091617732,legit,rural_shared,2,T0_ALLOW,,2400.0,0.05,5,29.1,0.125,0.242,0.242,False,7,2.1,0.2,0.025,0.4,0.465
254062036020,legit,urgent_mobile_money,15,T0_ALLOW,,29.0,0.02,1,14.24,0.5,0.407,0.407,False,1,1.3,0.39,2.069,0.22,0.594
254735779906,fraud,local_insider,22,T1_OBSERVE,,154.0,0.33,2,10.46,0.5,0.542,0.542,True,2,0.8,0.73,0.39,0.22,0.471
254770673910,legit,urgent_mobile_money,11,T0_ALLOW,,32.0,0.0,0,30.86,0.333,0.326,0.326,False,2,2.6,0.07,1.875,0.38,0.63
254194214813,legit,normal,2,T0_ALLOW,,3480.0,0.01,2,1.55,0.167,0.084,0.084,False,5,1.9,0.07,0.017,0.3,0.567
254066015393,legit,rural_shared,6,T0_ALLOW,,1320.0,0.06,5,135.44,0.25,0.175,0.175,False,3,1.3,0.21,0.045,0.9,0.462
254765334685,legit,emergency_drain,26,T1_OBSERVE,,48.0,0.0,0,14.2,0.2,0.556,0.556,True,4,1.0,0.18,1.25,0.9,0.63
254010524775,legit,rural_shared,0,T0_ALLOW,,2100.0,0.0,0,47.35,0.333,0.264,0.264,False,2,2.2,0.15,0.029,0.22,0.63
254148344494,legit,normal,2,T0_ALLOW,,3240.0,0.07,2,25.36,0.071,0.892,0.892,False,13,2.9,0.09,0.019,0.7,0.949
254744424235,legit,power_user,5,T0_ALLOW,,182.0,0.0,0,9.27,0.083,0.134,0.134,False,11,1.4,0.54,0.33,0.17,0.63
254174041264,legit,rural_shared,5,T0_ALLOW,,1080.0,0.09,3,4.24,0.125,0,0,False,7,3.0,0.41,0.0,0.4,0.513
254740812631,legit,normal,17,T0_ALLOW,,11.0,0.06,1,5.63,0.25,0.039,0.039,False,3,0.5,0.04,5.455,0.22,0.582
254753438808,legit,normal,1,T0_ALLOW,,3360.0,0.07,2,3.44,0.071,0.051,0.051,False,13,2.0,0.14,0.018,0.17,0.549
254152530011,legit,urgent_mobile_money,20,T0_ALLOW,,17.0,0.08,2,4.22,0.333,0.259,0.259,False,2,2.2,0.23,3.529,0.9,0.546
254183989133,legit,rural_shared,8,T0_ALLOW,,2820.0,0.05,4,237.04,1.0,0.219,0.219,True,0,0.9,0.35,0.021,0.27,0.495
254745232881,legit,normal,0,T0_ALLOW,,3420.0,0.04,1,5.63,0.067,0.108,0.108,False,14,0.8,0.16,0.018,0.9,0.988
254790059935,legit,normal,0,T0_ALLOW,,2820.0,0.08,1,11.92,0.111,0.23,0.23,False,8,2.2,0.34,0.021,0.7,0.576
254120735229,legit,rural_shared,16,T0_ALLOW,,600.0,0.03,3,3.56,0.125,0.358,0.358,True,7,2.2,0.45,0.1,0.9,0.531
254131837133,legit,new_recipient,13,T0_ALLOW,,180.0,0.09,1,4.16,0.143,0.318,0.318,True,6,1.7,0.07,0.333,0.35,0.973
254060633124,fraud,local_insider,35,T1_OBSERVE,,55.0,0.3,1,3.6,0.6,0.745,0.89,True,2,2.0,0.6,2.182,0.35,0.51
254797669911,fraud,power_user,11,T0_ALLOW,,72.0,0.07,2,2.0,0.111,0.178,0.178,False,8,2.8,0.42,0.833,0.17,0.549
254016656884,legit,new_recipient,2,T0_ALLOW,,2400.0,0.01,1,1.92,0.1,0,0,False,9,2.4,0.05,0.0,0.25,0.597
254790917364,legit,power_user,10,T0_ALLOW,,220.0,0.02,2,0.22,0.071,0.107,0.107,False,13,1.0,0.23,0.273,0.7,0.964
254024713786,legit,normal,2,T0_ALLOW,,3600.0,0.08,1,36.24,0.083,0.196,0.196,True,11,2.2,0.19,0.017,0.22,0.976
254137811434,legit,normal,0,T0_ALLOW,,1920.0,0.07,1,118.86,0.111,0.22,0.22,False,8,1.1,0.04,0.031,0.2,0.579
254111143838,legit,normal,0,T0_ALLOW,,900.0,0.1,1,94.12,0.111,0,0,False,8,2.3,0.28,0.0,0.17,0.97
254782210793,legit,urgent_mobile_money,9,T0_ALLOW,,16.0,0.07,2,9.56,0.333,0,0,False,2,2.7,0.13,0.0,0.25,0.549
254072194666,legit,power_user,11,T0_ALLOW,,72.0,0.01,1,1.56,0.071,0.184,0.184,False,13,2.7,0.4,0.833,0.4,0.597
254040080327,legit,urgent_mobile_money,22,T1_OBSERVE,,29.0,0.07,2,6.29,1.0,0.338,0.338,False,0,2.2,0.19,2.069,0.35,0.549
